OBJECTID_1,OBJECTID,JOIN_COUNT,TARGET_FID,ID,AREA,PERIMETER,PRECINCT_,CONGRESS,LEGIS,COUNCIL,BDED,ELECT,DASH_LABEL,DANDP,DISTRICT,PRECINCT,SHAPE_LENG,OBJECTID_12,FacType,Label,ObjectID_12_13,X,Y,District_P,Building_N,Location,x_lat,y_lat,city_state,street_add,POLL_X,SHAPE_Length,SHAPE_Area,POLL_Y
1,6,1,5,0,20682840.3824,20115.8104977,266,8,16,1,3, 7,07-13,07013,07,13,20115.8106072,17,MIDDLE SCHOOLS,07-13 Westland MS,69,1281251.5277649,471193.39842023,07-13,Westland MS, 5511 Massachusetts Ave Bethesda MD 20816,-77.1093078909839,38.9604372953997,Bethesda MD 20816,5511 Massachusetts Ave,-77.1093078909839,20115.8106071474,20682839.9766497,38.9604372953997
2,7,1,6,0,17969746.4899,17334.3013098,265,8,16,1,3, 7,07-11,07011,07,11,17334.3010086,15,ELEMENTARY SCHOOLS,07-11 Somerset ES,67,1286060.20809454,474376.657633424,07-11,Somerset ES, 5811 Warwick Pl Chevy Chase MD 20815,-77.0924081619999,38.9691922144001,Chevy Chase MD 20815,5811 Warwick Pl,-77.0924081619999,17334.3010086001,17969746.7055463,38.9691922144001
3,8,1,7,0,23264760.2613,24716.4764042,264,8,18,1,3, 7,07-02,07002,07,02,24716.4767278,177,PRIVATE,07-02 Chevy Chase Village Hall,201,1290290.11003311,474937.80345498,07-02,Chevy Chase Village Hall, 5906 Connecticut Ave Chevy Chase MD 20815,-77.0775323825311,38.9707437714667,CHEVY CHASE MD 20815,5906 CONNECTICUT AVE,-77.0775323825311,24716.4767278519,23264760.821339,38.9707437714667
4,9,1,8,0,22176927.8277,30417.2493767,253,8,20,5,4,13,13-67,13067,13,67,21015.9404688,225,PRIVATE,13-67 Don Bosco Cristo Rey,158,1315098.00006932,477200.000248432,13-67,Don Bosco Cristo Rey High School, 1010 Larch Ave Takoma Park MD 20912,-76.9902750187002,38.9769804158067,Takoma Park MD 20912,1010 Larch Ave,-76.9902750187002,21015.9404688075,10939593.2879235,38.9769804158067
5,10,1,9,0,11901389.626,17126.348936,263,8,20,5,4,13,13-06,13006,13,06,17126.3491293,152,ELEMENTARY SCHOOLS,13-06 Piney Branch ES,126,1309667.25005838,479076.093722627,13-06,Piney Branch ES, 7510 Maple Ave Takoma Park MD 20912,-77.0093788825,38.9821316553,Takoma Park MD 20912,7510 Maple Ave,-77.0093788825,17126.3491292474,11901389.6994749,38.9821316553
6,11,1,10,0,26052399.3703,26096.2927843,262,8,16,1,3, 7,07-22,07022,07,22,26096.2924796,21,ELEMENTARY SCHOOLS,07-22 Bannockburn ES,205,1273005.62506106,476280.750159115,07-22,Bannockburn ES, 6520 Dalroy Ln Bethesda MD 20817,-77.1383339932,38.9743750070002,BETHESDA MD 20817,6520 DALROY LN,-77.1383339932,26096.2924795537,26052399.2108479,38.9743750070002
7,12,1,11,0,18823091.5683,18350.6587195,261,8,16,1,3, 7,07-04,07004,07,04,18350.6588597,11,ELEMENTARY SCHOOLS,07-04 Bethesda ES,61,1283947.1248737,480667.718746737,07-04,Bethesda ES, 7600 Arlington Rd Bethesda MD 20814,-77.0998645245,38.9864595389001,Bethesda MD 20814,7600 Arlington Rd,-77.0998645245,18350.6588596393,18823091.4327683,38.9864595389001
8,13,1,12,0,13948897.0159,15380.6427576,260,8,18,1,3, 7,07-06,07006,07,06,15380.6429133,14,ELEMENTARY SCHOOLS,07-06 Chevy Chase ES,66,1289523.2501096,477787.781114444,07-06,Chevy Chase ES, 4015 Rosemary St Chevy Chase MD 20815,-77.0802384597999,38.9785671729001,Chevy Chase MD 20815,4015 Rosemary St,-77.0802384597999,15380.6429133402,13948896.712622,38.9785671729001
9,14,1,13,0,6841057.92187,12470.4699196,259,8,18,1,3, 7,07-21,07021,07,21,12470.4696329,182,PRIVATE,07-21 Chevy Chase United Methodist Ch,72,1290547.25765057,478404.452804089,07-21,Chevy Chase United Methodist Church, 7001 Connecticut Ave Chevy Chase MD 20815,-77.0766381569124,38.9802627906503,Chevy Chase MD 20815,7001 Connecticut Ave,-77.0766381569124,12470.4696329063,6841057.89402075,38.9802627906503
10,15,1,14,0,43271549.1346,31822.1367873,258,8,16,1,3, 7,07-23,07023,07,23,31822.13691,23,HIGH SCHOOLS,07-23 Walt Whitman HS,73,1276040.25008912,478918.906226739,07-23,Walt Whitman HS, 7100 Whittier Blvd Bethesda MD 20817,-77.1276727864999,38.9816307564001,Bethesda MD 20817,7100 Whittier Blv,-77.1276727864999,31822.1369099613,43271549.0716908,38.9816307564001
11,16,1,15,0,66651696.3682,36902.7582268,257,8,16,1,3, 7,07-03,07003,07,03,36902.7581354,178,PRIVATE,07-03 Clara Barton Comm Ctr,59,1268933.9061511,475947.093146905,07-03,Clara Barton Community Center, 7425 Mac Arthur Blvd Cabin John MD 20818,-77.1526541500824,38.9734410631245,Cabin John MD 20818,7425 Mac Arthur Blv,-77.1526541500824,36902.7581354083,66651696.165963,38.9734410631245
12,18,1,17,0,16466749.5628,20846.800327,255,8,18,1,3, 7,07-05,07005,07,05,20846.7994127,160,CENTER,07-05 Rollingwood School Center,62,1294196.62632407,480885.950112298,07-05,Rollingwood School Center, 3200 Woodbine St Chevy Chase MD 20815,-77.0638066645767,38.9870839661468,Chevy Chase MD 20815,3200 Woodbine St,-77.0638066645767,20846.7994126432,16466749.4973849,38.9870839661468
